,colsample_bytree,gamma,max_depth,min_child_weight,reg_alpha,reg_lambda
1,0.6165910482944488,1.0294394665426085,15.0,2.0,40.0,0.406216798369536
2,0.821350771784966,1.5062471708941412,10.0,7.0,61.0,0.23974535107577022
3,0.8318488674324094,1.9050353666082738,5.0,2.0,40.0,0.4737960632888072
4,0.5480102802658029,1.3002653606483352,10.0,2.0,40.0,0.9456342143778915
5,0.868565260780871,7.899662686684424,6.0,1.0,40.0,0.46469993584694125
6,0.9989834601631278,5.390475322155776,9.0,0.0,40.0,0.5648541224959455
7,0.5742548233821403,4.4665717136666885,4.0,0.0,44.0,0.09400007087798445
8,0.5760627411757864,2.959796355583238,9.0,3.0,42.0,0.33903290429693034
9,0.6044492208187261,2.630471326414276,8.0,1.0,72.0,0.7418739162097796
10,0.7920781603446426,1.3599007861927639,5.0,9.0,40.0,0.11666738515428987
11,0.6173924552796894,7.899761965603521,14.0,8.0,40.0,0.5483813025323895
12,0.9243216873402218,2.225924631597906,18.0,4.0,41.0,0.39702913073036333
13,0.6599782458626616,6.015574086914401,10.0,3.0,40.0,0.6032418649216695
14,0.8249204409224815,8.025492231703016,11.0,3.0,40.0,0.3631472427087323
15,0.6170787376453588,8.98826315742103,3.0,6.0,97.0,0.5758827922167504
16,0.7240338493866398,6.532167914207339,5.0,2.0,48.0,0.42433670321797223
17,0.94026880211418,2.112753967268317,18.0,4.0,42.0,0.8607096201037594
18,0.8836452500484642,1.6565149917072879,8.0,0.0,44.0,0.8308433686927656
19,0.6787570677389705,3.8888965588883577,5.0,6.0,50.0,0.1299132545423637
20,0.7866985402791736,7.185375517176123,13.0,1.0,47.0,0.4812858301910286
21,0.7144336221455334,6.2577914058538155,12.0,1.0,40.0,0.9923938127661996
22,0.7366539398789733,7.4760293127142585,10.0,3.0,40.0,0.6152804235293218
23,0.9367090978320316,5.360836874804994,6.0,0.0,60.0,0.6515986641829178
24,0.5523532018270019,6.6080529295762105,3.0,10.0,171.0,0.1889622987003533
25,0.8145384121804683,5.9216707796495776,3.0,3.0,95.0,0.3420852047664247
26,0.8884364127342242,6.587450256783688,15.0,9.0,40.0,0.36081483887776866
27,0.940672613089294,3.782628633785289,10.0,9.0,40.0,0.41059369533781453
28,0.7377840281073682,8.856332424129508,10.0,4.0,53.0,0.9792296626114727
29,0.8170909800764802,6.1791229787664665,7.0,5.0,41.0,0.8927104090264417
30,0.9933321155366482,1.8832011969583202,6.0,8.0,153.0,0.33863862224884195
31,0.5029694725652969,5.269027046942717,18.0,10.0,40.0,0.45826578817428065
32,0.6613271610686329,8.149596381114996,11.0,5.0,87.0,0.7871213629248702
33,0.8516329670358702,6.858760218093854,3.0,1.0,51.0,0.032410330230029316
34,0.9490637549518405,3.631563505842812,3.0,3.0,43.0,0.16775700160782153
35,0.800475877794788,4.501533799337679,16.0,9.0,45.0,0.3685659002234922
36,0.8424459243916809,8.934193276266651,12.0,4.0,179.0,0.016194380057880486
37,0.8001850343270108,5.0640828259413615,9.0,7.0,44.0,0.5676345970181267
38,0.7118401121597768,1.0352759324123744,12.0,1.0,141.0,0.8646065529811859
39,0.9580314015986401,2.273348803088467,6.0,0.0,40.0,0.02692919333367417
40,0.9963621818273372,7.998445734770234,8.0,8.0,138.0,0.6275105592454164
41,0.7020235749057965,2.9335698223950772,12.0,5.0,40.0,0.9692703195272874
42,0.7428613654874524,6.254576825899663,13.0,7.0,40.0,0.078019289430627
43,0.7298378479820702,8.633725247476017,14.0,8.0,45.0,0.83482025002697
44,0.7078070843917165,3.88925183834559,10.0,10.0,40.0,0.6591322301698062
